d	B
DATE0	     6490.
DATE1	    17390.
DATE2	     4602.
DATE3	    10762.
DATE4	    17390.
DATE5	     2353.
DATE6	    26534.
DATE7	    13453.
DATE8	    10233.
DATE9	     5193.
DATE10	     5089.
DATE11	    10447.
DATE12	     4717.
DATE13	    16075.
DATE14	      136.
DATE15	      617.
DATE16	     8988.
DATE17	    15094.
DATE18	     9788.
DATE19	     5335.
DATE20	    19344.
DATE21	    10605.
DATE22	     2525.
DATE23	     8132.
DATE24	    24202.
DATE25	     2928.
DATE26	     1588.
DATE27	     5872.
DATE28	    15045.
DATE29	    17390.
DATE30	    10913.
DATE31	     6886.
DATE32	    11392.
DATE33	     4134.
DATE34	    17211.
DATE35	     8474.
DATE36	     8468.
DATE37	     1954.
DATE38	    17390.
DATE39	    17108.
DATE40	     2524.
DATE41	    21897.
DATE42	    19067.
DATE43	     6406.
DATE44	     6746.
DATE45	     1738.
DATE46	     4224.
DATE47	     9432.
DATE48	    17390.
DATE49	    10687.
DATE50	     3249.
DATE51	    17390.
DATE52	      871.
DATE53	     3758.
DATE54	    10732.
DATE55	    18050.
DATE56	    17390.
DATE57	    34779.
DATE58	     9882.
DATE59	    20539.
DATE60	      567.
DATE61	    11489.
DATE62	      360.
DATE63	    13702.
DATE64	    13913.
DATE65	     9025.
DATE66	    12582.
DATE67	     1373.
DATE68	    15820.
DATE69	    11718.
DATE70	     9348.
DATE71	      386.
DATE72	    17390.
DATE73	    13024.
DATE74	     2839.
DATE75	     9953.
DATE76	    10568.
DATE77	    20259.
DATE78	    17390.
DATE79	     1430.
DATE80	     9840.
DATE81	    17390.
DATE82	    10842.
DATE83	    13952.
DATE84	     9566.
DATE85	     2474.
DATE86	     2021.
DATE87	    10548.
DATE88	      318.
DATE89	     1133.
DATE90	     9947.
DATE91	     1053.
DATE92	     3949.
DATE93	     6436.
DATE94	     7602.
DATE95	     7511.
DATE96	     4735.
DATE97	     1921.
DATE98	    17390.
DATE99	    25151.
